"source_mod","role_name","team_hint","role_kind","source_path","source_ref"
"BoundlessHostRoles","Asthmatic","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Augmenter","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Autocrat","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Autopsy","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Avanger","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bait","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Ball Lightning","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bandit","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bard","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bargainer","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Beacon","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Beehive","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Benefactor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bewilder","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Blackmailer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Blood Knight","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bloodhound","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bloodlust","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bloodmoon","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bodyguard","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bomber","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Booby Trap","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bounty Hunter","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Brakar","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Bubble","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Busy","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Camera Man","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Camouflager","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cantankerous","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Capitalism","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Chameleon","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Changeling","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Charmed","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Chef","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Chemist","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cherokious","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Chronomancer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Circumvent","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Clairvoyant","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cleaner","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cleansed","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cleanser","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Clumsy","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Collector","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Commander","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Consort","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Contagious","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Convener","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Convict","Unknown","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Copy Cat","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Councillor","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Crewmate EHR","CustomVariant","vanilla_remake","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Crewpostor","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Crusader","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cursed Wolf","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Cyber Star","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Damocles","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dark Hide","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dasher","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dazzler","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Deadly Quota","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Deathknight","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Deathpact","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Demolitionist","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Deputy","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Detective","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Detector","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Detour","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Devourer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dictator","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Disco","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Diseased","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Disperser","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Divinator","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Doctor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Donut Delivery","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Doomsayer","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Doormaster","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Doppelganger","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Double Shot","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Doves Of Neace","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Drainer","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Druid","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dual Personality","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Duellist","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Dynamo","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Echo","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Eclipse","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Egoist","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Electric","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Enderman","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Energetic","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Engineer","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Engineer EHR","CustomVariant","vanilla_remake","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Enigma","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Eraser","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Escapee","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Escort","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Evil Diviner","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Evil Guesser","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Evil Spirit","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Evil Tracker","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Evolver","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Executioner","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Express","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Farseer","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","FFF","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Finder","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Fire Works","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Flashman","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Fool","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Fox","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Freezer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","GA","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Gambler","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Gamer","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Gangster","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Gaulois","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Generator","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Giant","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Glitch","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Glow","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","GM","Utility","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","God","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Godfather","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Goose","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Gravestone","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Greedier","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Grenadier","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Guardian","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Guardian Angel","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Guardian Angel EHR","CustomVariant","vanilla_remake","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Guess Manager Role","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Guesser","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hacker","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hangman","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Haste","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Haunter","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Head Hunter","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hex Master","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hider","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hitman","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Hookshot","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Ignitor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Imitator","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Impartial","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Imperius Curse","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Impostor","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Impostor EHR","CustomVariant","vanilla_remake","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Inhibitor","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Innocent","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Inquirer","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Insight","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jackal","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jailor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jester","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jet","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jinx","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Judge","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Juggernaut","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Jumper","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Kamikaze","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","KB Normal","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Kidnapper","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Killer","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Knighted","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Konan","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Last Impostor","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lawyer","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lazy","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Librarian","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lighter","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Locator","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lookout","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lovers","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Loving Crewmate","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Loving Impostor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Loyal","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Luckey","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lucky","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lurker","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Lyncher","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Madmate","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mafia","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mafioso","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Magician","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Magnet","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mare","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mario","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Markseeker","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Marshall","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mastermind","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mathematician","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Maverick","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mayor","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Medic","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mediumshiper","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Medusa","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Merchant","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Messenger","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Mimic","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Miner","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Minimalism","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
