"role_name","sources","source_count","team_hints","kinds","icon_file","enabled"
"Councillor","BoundlessHostRoles","1","Impostor","custom_role","Councillor.png","false"
"Crewmate EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","CrewmateEHR.png","false"
"Crewpostor","BoundlessHostRoles","1","Impostor","custom_role","Crewpostor.png","false"
"Crusader","BoundlessHostRoles","1","Crewmate","custom_role","Crusader.png","false"
"Cursed Wolf","BoundlessHostRoles","1","Impostor","custom_role","CursedWolf.png","false"
"Cyber Star","BoundlessHostRoles","1","Crewmate","custom_role","CyberStar.png","false"
"Damocles","BoundlessHostRoles","1","Any","sub_role","Damocles.png","false"
"Dark Hide","BoundlessHostRoles","1","Neutral","custom_role","DarkHide.png","false"
"Dasher","BoundlessHostRoles","1","Gamemode","gamemode_role","Dasher.png","false"
"Dazzler","BoundlessHostRoles","1","Impostor","custom_role","Dazzler.png","false"
"Deadly Quota","BoundlessHostRoles","1","Any","sub_role","DeadlyQuota.png","false"
"Deathknight","BoundlessHostRoles","1","Neutral","custom_role","Deathknight.png","false"
"Deathpact","BoundlessHostRoles","1","Impostor","custom_role","Deathpact.png","false"
"Demolitionist","BoundlessHostRoles","1","Crewmate","custom_role","Demolitionist.png","false"
"Deputy","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Deputy.png","false"
"Detective","BoundlessHostRoles; TheOtherRoles; TOU-R","3","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Detective.png","false"
"Detector","BoundlessHostRoles","1","Gamemode","gamemode_role","Detector.png","false"
"Detour","BoundlessHostRoles","1","Crewmate","custom_role","Detour.png","false"
"Devourer","BoundlessHostRoles","1","Impostor","custom_role","Devourer.png","false"
"Dictator","BoundlessHostRoles","1","Crewmate","custom_role","Dictator.png","false"
"Disco","BoundlessHostRoles","1","Any","sub_role","Disco.png","false"
"Diseased","BoundlessHostRoles","1","Any","sub_role","Diseased.png","false"
"Disperser","BoundlessHostRoles","1","Impostor","custom_role","Disperser.png","false"
"Divinator","BoundlessHostRoles","1","Crewmate","custom_role","Divinator.png","false"
"Doctor","BoundlessHostRoles","1","Crewmate","custom_role","Doctor.png","false"
"Donut Delivery","BoundlessHostRoles","1","Crewmate","custom_role","DonutDelivery.png","false"
"Doomsayer","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Doomsayer.png","false"
"Doormaster","BoundlessHostRoles","1","Crewmate","custom_role","Doormaster.png","false"
"Doppelganger","BoundlessHostRoles","1","Neutral","custom_role","Doppelganger.png","false"
"Double Shot","BoundlessHostRoles","1","Any","sub_role","DoubleShot.png","false"
"Doves Of Neace","BoundlessHostRoles","1","Crewmate","custom_role","DovesOfNeace.png","false"
"Drainer","BoundlessHostRoles","1","Crewmate","custom_role","Drainer.png","false"
"Druid","BoundlessHostRoles","1","Crewmate","custom_role","Druid.png","false"
"Dual Personality","BoundlessHostRoles","1","Any","sub_role","DualPersonality.png","false"
"Duellist","BoundlessHostRoles","1","Impostor","custom_role","Duellist.png","false"
"Dynamo","BoundlessHostRoles","1","Any","sub_role","Dynamo.png","false"
"Echo","BoundlessHostRoles","1","Impostor","custom_role","Echo.png","false"
"Eclipsal","TOU-Mira; TOU-R","2","Impostor","custom_role","Eclipsal.png","false"
"Eclipse","BoundlessHostRoles","1","Neutral","custom_role","Eclipse.png","false"
"Egoist","BoundlessHostRoles","1","Any","sub_role","Egoist.png","false"
"Electric","BoundlessHostRoles","1","Crewmate","custom_role","Electric.png","false"
"Enderman","BoundlessHostRoles","1","Neutral","custom_role","Enderman.png","false"
"Energetic","BoundlessHostRoles","1","Any","sub_role","Energetic.png","false"
"Engineer","BoundlessHostRoles; TheOtherRoles; TOU-R","3","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Engineer.png","false"
"Engineer EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","EngineerEHR.png","false"
"Engineer Tou","TOU-Mira","1","Crewmate","custom_role","EngineerTou.png","false"
"Enigma","BoundlessHostRoles","1","Crewmate","custom_role","Enigma.png","false"
"Eraser","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Eraser.png","false"
"Escapee","BoundlessHostRoles","1","Impostor","custom_role","Escapee.png","false"
"Escapist","TOU-Mira; TOU-R","2","Impostor","custom_role","Escapist.png","false"
"Escort","BoundlessHostRoles","1","Crewmate","custom_role","Escort.png","false"
"Evil Diviner","BoundlessHostRoles","1","Impostor","custom_role","EvilDiviner.png","false"
"Evil Guesser","BoundlessHostRoles; TheOtherRoles","2","Impostor","custom_role","EvilGuesser.png","false"
"Evil Spirit","BoundlessHostRoles","1","Any","sub_role","EvilSpirit.png","false"
"Evil Tracker","BoundlessHostRoles","1","Impostor","custom_role","EvilTracker.png","false"
"Evolver","BoundlessHostRoles","1","Neutral","custom_role","Evolver.png","false"
"Executioner","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Executioner.png","false"
"Express","BoundlessHostRoles","1","Crewmate","custom_role","Express.png","false"
"Fairy","TOU-Mira","1","Neutral","custom_role","Fairy.png","false"
"Farseer","BoundlessHostRoles","1","Crewmate","custom_role","Farseer.png","false"
"FFF","BoundlessHostRoles","1","Neutral","custom_role","FFF.png","false"
"Finder","BoundlessHostRoles","1","Any","sub_role","Finder.png","false"
"Fire Works","BoundlessHostRoles","1","Impostor","custom_role","FireWorks.png","false"
"Flashman","BoundlessHostRoles","1","Any","sub_role","Flashman.png","false"
"Fool","BoundlessHostRoles","1","Any","sub_role","Fool.png","false"
"Forensic","TOU-Mira","1","Crewmate","custom_role","Forensic.png","false"
"Fox","BoundlessHostRoles","1","Gamemode","gamemode_role","Fox.png","false"
"Freezer","BoundlessHostRoles","1","Impostor","custom_role","Freezer.png","false"
"GA","BoundlessHostRoles","1","Any","sub_role","GA.png","false"
"Gambler","BoundlessHostRoles","1","Impostor","custom_role","Gambler.png","false"
"Gamer","BoundlessHostRoles","1","Neutral","custom_role","Gamer.png","false"
"Gangster","BoundlessHostRoles","1","Impostor","custom_role","Gangster.png","false"
"Gaulois","BoundlessHostRoles","1","Crewmate","custom_role","Gaulois.png","false"
"Generator","BoundlessHostRoles","1","Impostor","custom_role","Generator.png","false"
"Giant","BoundlessHostRoles","1","Any","sub_role","Giant.png","false"
"Glitch","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Glitch.png","false"
"Glow","BoundlessHostRoles","1","Any","sub_role","Glow.png","false"
"GM","BoundlessHostRoles","1","Utility","gamemode_role","GM.png","false"
"God","BoundlessHostRoles","1","Neutral","custom_role","God.png","false"
"Godfather","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Godfather.png","false"
"Goose","BoundlessHostRoles","1","Crewmate","custom_role","Goose.png","false"
"Gravestone","BoundlessHostRoles","1","Any","sub_role","Gravestone.png","false"
"Greedier","BoundlessHostRoles","1","Impostor","custom_role","Greedier.png","false"
"Grenadier","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Impostor","custom_role","Grenadier.png","false"
"Guardian","BoundlessHostRoles","1","Crewmate","custom_role","Guardian.png","false"
"Guardian Angel","BoundlessHostRoles; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","GuardianAngel.png","false"
"Guardian Angel EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","GuardianAngelEHR.png","false"
"Guess Manager Role","BoundlessHostRoles","1","Crewmate","custom_role","GuessManagerRole.png","false"
"Guesser","BoundlessHostRoles","1","Any","sub_role","Guesser.png","false"
"Hacker","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Hacker.png","false"
"Hangman","BoundlessHostRoles","1","Impostor","custom_role","Hangman.png","false"
"Haste","BoundlessHostRoles","1","Any","sub_role","Haste.png","false"
"Haunter","BoundlessHostRoles; TOU-Mira; TOU-R","3","Any; Crewmate; Mixed/Non-Impostor","custom_role; ghost_role; sub_role","Haunter.png","false"
"Head Hunter","BoundlessHostRoles","1","Neutral","custom_role","HeadHunter.png","false"
"Herbalist","TOU-Mira","1","Impostor","custom_role","Herbalist.png","false"
"Hex Master","BoundlessHostRoles","1","Neutral","custom_role","HexMaster.png","false"
"Hider","BoundlessHostRoles","1","Gamemode","gamemode_role","Hider.png","false"
"Hitman","BoundlessHostRoles","1","Impostor","custom_role","Hitman.png","false"
"Hns Camouflager","TOU-Mira","1","Gamemode","gamemode_role","HnsCamouflager.png","false"
"Hns Chameleon","TOU-Mira","1","Gamemode","gamemode_role","HnsChameleon.png","false"
"Hns Mystic","TOU-Mira","1","Gamemode","gamemode_role","HnsMystic.png","false"
"Hns Snitch","TOU-Mira","1","Gamemode","gamemode_role","HnsSnitch.png","false"
"Hookshot","BoundlessHostRoles","1","Neutral","custom_role","Hookshot.png","false"
"Hunted","TheOtherRoles","1","Gamemode","gamemode_role","Hunted.png","false"
"Hunter","TheOtherRoles; TOU-Mira; TOU-R","3","Crewmate; Gamemode; Mixed/Non-Impostor","custom_role; gamemode_role","Hunter.png","false"
"Hypnotist","TOU-Mira; TOU-R","2","Impostor","custom_role","Hypnotist.png","false"
"Ignitor","BoundlessHostRoles","1","Crewmate","custom_role","Ignitor.png","false"
"Imitator","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor; Neutral","custom_role","Imitator.png","false"
"Impartial","BoundlessHostRoles","1","Neutral","custom_role","Impartial.png","false"
"Imperius Curse","BoundlessHostRoles","1","Impostor","custom_role","ImperiusCurse.png","false"
"Impostor","BoundlessHostRoles","1","Impostor","custom_role","Impostor.png","false"
"Impostor EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","ImpostorEHR.png","false"
"Inhibitor","BoundlessHostRoles","1","Impostor","custom_role","Inhibitor.png","false"
"Innocent","BoundlessHostRoles","1","Neutral","custom_role","Innocent.png","false"
"Inquirer","BoundlessHostRoles","1","Crewmate","custom_role","Inquirer.png","false"
"Inquisitor","TOU-Mira","1","Neutral","custom_role","Inquisitor.png","false"
"Insight","BoundlessHostRoles","1","Crewmate","custom_role","Insight.png","false"
"Investigator","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Investigator.png","false"
"Jackal","BoundlessHostRoles; TheOtherRoles","2","Neutral","custom_role","Jackal.png","false"
"Jailor","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor","custom_role","Jailor.png","false"
"Janitor","TheOtherRoles; TOU-Mira; TOU-R","3","Crewmate/Other; Impostor","custom_role","Janitor.png","false"
"Jester","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Mixed/Non-Impostor; Neutral","custom_role","Jester.png","false"
"Jet","BoundlessHostRoles","1","Gamemode","gamemode_role","Jet.png","false"
"Jinx","BoundlessHostRoles","1","Neutral","custom_role","Jinx.png","false"
"Judge","BoundlessHostRoles","1","Crewmate","custom_role","Judge.png","false"
"Juggernaut","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Juggernaut.png","false"
"Jumper","BoundlessHostRoles","1","Gamemode","gamemode_role","Jumper.png","false"
"Kamikaze","BoundlessHostRoles","1","Impostor","custom_role","Kamikaze.png","false"
"KB Normal","BoundlessHostRoles","1","Gamemode","gamemode_role","KBNormal.png","false"
"Kidnapper","BoundlessHostRoles","1","Impostor","custom_role","Kidnapper.png","false"
"Killer","BoundlessHostRoles","1","Gamemode","gamemode_role","Killer.png","false"
"Knighted","BoundlessHostRoles","1","Any","sub_role","Knighted.png","false"
"Konan","BoundlessHostRoles","1","Neutral","custom_role","Konan.png","false"
"Last Impostor","BoundlessHostRoles","1","Any","sub_role","LastImpostor.png","false"
"Lawyer","BoundlessHostRoles; TheOtherRoles","2","Neutral","custom_role","Lawyer.png","false"
"Lazy","BoundlessHostRoles","1","Any","sub_role","Lazy.png","false"
"Librarian","BoundlessHostRoles","1","Impostor","custom_role","Librarian.png","false"
"Lighter","BoundlessHostRoles; TheOtherRoles","2","Crewmate; Crewmate/Other","custom_role","Lighter.png","false"
"Locator","BoundlessHostRoles","1","Gamemode","gamemode_role","Locator.png","false"
"Lookout","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor","custom_role","Lookout.png","false"
"Lovers","BoundlessHostRoles","1","Any","sub_role","Lovers.png","false"
"Loving Crewmate","BoundlessHostRoles","1","Crewmate","custom_role","LovingCrewmate.png","false"
"Loving Impostor","BoundlessHostRoles","1","Crewmate","custom_role","LovingImpostor.png","false"
"Loyal","BoundlessHostRoles","1","Any","sub_role","Loyal.png","false"
"Luckey","BoundlessHostRoles","1","Crewmate","custom_role","Luckey.png","false"
"Lucky","BoundlessHostRoles","1","Any","sub_role","Lucky.png","false"
"Lurker","BoundlessHostRoles","1","Impostor","custom_role","Lurker.png","false"
"Lyncher","BoundlessHostRoles","1","Crewmate","custom_role","Lyncher.png","false"
"Madmate","BoundlessHostRoles","1","Any","sub_role","Madmate.png","false"
"Mafia","BoundlessHostRoles","1","Impostor","custom_role","Mafia.png","false"
"Mafioso","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Mafioso.png","false"
"Magician","BoundlessHostRoles","1","Neutral","custom_role","Magician.png","false"
"Magnet","BoundlessHostRoles","1","Any","sub_role","Magnet.png","false"
"Mare","BoundlessHostRoles","1","Any","sub_role","Mare.png","false"
"Mario","BoundlessHostRoles","1","Neutral","custom_role","Mario.png","false"
"Markseeker","BoundlessHostRoles","1","Crewmate","custom_role","Markseeker.png","false"
"Marshall","BoundlessHostRoles","1","Crewmate","custom_role","Marshall.png","false"
"Mastermind","BoundlessHostRoles","1","Impostor","custom_role","Mastermind.png","false"
"Mathematician","BoundlessHostRoles","1","Crewmate","custom_role","Mathematician.png","false"
"Maverick","BoundlessHostRoles","1","Neutral","custom_role","Maverick.png","false"
"Mayor","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Mayor.png","false"
"Medic","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Medic.png","false"
"Medium","TheOtherRoles; TOU-Mira; TOU-R","3","Crewmate; Crewmate/Other; Mixed/Non-Impostor","custom_role","Medium.png","false"
"Mediumshiper","BoundlessHostRoles","1","Crewmate","custom_role","Mediumshiper.png","false"
"Medusa","BoundlessHostRoles","1","Neutral","custom_role","Medusa.png","false"
"Mercenary","TOU-Mira; TOU-R","2","Mixed/Non-Impostor; Neutral","custom_role","Mercenary.png","false"
"Merchant","BoundlessHostRoles","1","Crewmate","custom_role","Merchant.png","false"
"Messenger","BoundlessHostRoles","1","Any","sub_role","Messenger.png","false"
"Mimic","BoundlessHostRoles","1","Any","sub_role","Mimic.png","false"
"Miner","BoundlessHostRoles; TOU-Mira; TOU-R","3","Impostor","custom_role","Miner.png","false"
"Minimalism","BoundlessHostRoles","1","Impostor","custom_role","Minimalism.png","false"
"Minion","BoundlessHostRoles","1","Any","sub_role","Minion.png","false"
"Mirrorcaster","TOU-Mira","1","Crewmate","custom_role","Mirrorcaster.png","false"
"Mischievous","BoundlessHostRoles","1","Any","sub_role","Mischievous.png","false"
"Mole","BoundlessHostRoles","1","Crewmate","custom_role","Mole.png","false"
"Monarch","BoundlessHostRoles; TOU-Mira","2","Crewmate","custom_role","Monarch.png","false"
"Monitor","BoundlessHostRoles","1","Crewmate","custom_role","Monitor.png","false"
"Morphling","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Crewmate/Other; Impostor","custom_role","Morphling.png","false"
"Mortician","BoundlessHostRoles","1","Crewmate","custom_role","Mortician.png","false"
"Mycologist","BoundlessHostRoles","1","Neutral","custom_role","Mycologist.png","false"
"Mystic","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Mystic.png","false"
"Necromancer","BoundlessHostRoles","1","Neutral","custom_role","Necromancer.png","false"
"Necroview","BoundlessHostRoles","1","Any","sub_role","Necroview.png","false"
"Needy","BoundlessHostRoles","1","Crewmate","custom_role","Needy.png","false"
"Neutral Ghost","TOU-Mira","1","Neutral","ghost_role","NeutralGhost.png","false"
"Nice Eraser","BoundlessHostRoles","1","Crewmate","custom_role","NiceEraser.png","false"
"Nice Guesser","BoundlessHostRoles; TheOtherRoles","2","Crewmate; Crewmate/Other","custom_role","NiceGuesser.png","false"
"Nice Hacker","BoundlessHostRoles","1","Crewmate","custom_role","NiceHacker.png","false"
"Nice Swapper","BoundlessHostRoles","1","Crewmate","custom_role","NiceSwapper.png","false"
"Nightmare","BoundlessHostRoles","1","Crewmate","custom_role","Nightmare.png","false"
"Nimble","BoundlessHostRoles","1","Any","sub_role","Nimble.png","false"
"Ninja","TheOtherRoles","1","Crewmate/Other","custom_role","Ninja.png","false"
"Noisemaker","BoundlessHostRoles","1","Crewmate","custom_role","Noisemaker.png","false"
"Noisemaker EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","NoisemakerEHR.png","false"
"Noisy","BoundlessHostRoles","1","Any","sub_role","Noisy.png","false"
"Nonplus","BoundlessHostRoles","1","Neutral","custom_role","Nonplus.png","false"
"Not Assigned","BoundlessHostRoles","1","Any","sub_role","NotAssigned.png","false"
"NSerial Killer","BoundlessHostRoles","1","Neutral","custom_role","NSerialKiller.png","false"
"Nuker","BoundlessHostRoles","1","Impostor","custom_role","Nuker.png","false"
"Nullifier","BoundlessHostRoles","1","Impostor","custom_role","Nullifier.png","false"
"Oblivious","BoundlessHostRoles","1","Any","sub_role","Oblivious.png","false"
"Observer","BoundlessHostRoles","1","Crewmate","custom_role","Observer.png","false"
"Officer","TOU-Mira","1","Crewmate","custom_role","Officer.png","false"
"Onbound","BoundlessHostRoles","1","Any","sub_role","Onbound.png","false"
"Opportunist","BoundlessHostRoles","1","Neutral","custom_role","Opportunist.png","false"
"Oracle","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor","custom_role","Oracle.png","false"
"Over Killer","BoundlessHostRoles","1","Impostor","custom_role","OverKiller.png","false"
"Overheat","BoundlessHostRoles","1","Impostor","custom_role","Overheat.png","false"
"Oxyman","BoundlessHostRoles","1","Crewmate","custom_role","Oxyman.png","false"
"Paranoia","BoundlessHostRoles","1","Crewmate","custom_role","Paranoia.png","false"
"Parasite","BoundlessHostRoles; TOU-Mira","2","Impostor","custom_role","Parasite.png","false"
"Parity Cop","BoundlessHostRoles","1","Crewmate","custom_role","ParityCop.png","false"
"Patroller","BoundlessHostRoles","1","Neutral","custom_role","Patroller.png","false"
"Pelican","BoundlessHostRoles","1","Neutral","custom_role","Pelican.png","false"
"Penguin","BoundlessHostRoles","1","Impostor","custom_role","Penguin.png","false"
"Perceiver","BoundlessHostRoles","1","Crewmate","custom_role","Perceiver.png","false"
"Pestilence","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Pestilence.png","false"
"Phantasm","BoundlessHostRoles","1","Neutral","custom_role","Phantasm.png","false"
"Phantom","BoundlessHostRoles; TOU-R","2","Impostor; Mixed/Non-Impostor","custom_role","Phantom.png","false"
"Phantom EHR","BoundlessHostRoles","1","CustomVariant","vanilla_remake","PhantomEHR.png","false"
"Philantropist","BoundlessHostRoles","1","Crewmate","custom_role","Philantropist.png","false"
"Physicist","BoundlessHostRoles","1","Any","sub_role","Physicist.png","false"
"Pickpocket","BoundlessHostRoles","1","Neutral","custom_role","Pickpocket.png","false"
"Plague Bearer","BoundlessHostRoles","1","Neutral","custom_role","PlagueBearer.png","false"
"Plague Doctor","BoundlessHostRoles","1","Neutral","custom_role","PlagueDoctor.png","false"
"Plaguebearer","TOU-Mira; TOU-R","2","Mixed/Non-Impostor; Neutral","custom_role","Plaguebearer.png","false"
"Plumber","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Plumber.png","false"
"Poisoner","BoundlessHostRoles","1","Neutral","custom_role","Poisoner.png","false"
"Politician","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Politician.png","false"
"Portalmaker","TheOtherRoles","1","Crewmate/Other","custom_role","Portalmaker.png","false"
"Postman","BoundlessHostRoles","1","Neutral","custom_role","Postman.png","false"
"Potato","BoundlessHostRoles","1","Gamemode","gamemode_role","Potato.png","false"
"Predator","BoundlessHostRoles","1","Neutral","custom_role","Predator.png","false"
"Prop","TheOtherRoles","1","Gamemode","gamemode_role","Prop.png","false"
"Prosecutor","TheOtherRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor; Neutral","custom_role","Prosecutor.png","false"
"Provocateur","BoundlessHostRoles","1","Neutral","custom_role","Provocateur.png","false"
"Psychic","BoundlessHostRoles","1","Crewmate","custom_role","Psychic.png","false"
"Puppeteer","BoundlessHostRoles; TOU-Mira","2","Impostor","custom_role","Puppeteer.png","false"
"Pursuer","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Neutral","custom_role","Pursuer.png","false"
"Pyromaniac","BoundlessHostRoles","1","Neutral","custom_role","Pyromaniac.png","false"
"Quick Shooter","BoundlessHostRoles","1","Impostor","custom_role","QuickShooter.png","false"
"Quiz Master","BoundlessHostRoles","1","Neutral","custom_role","QuizMaster.png","false"
